state,dist,key,pop
Bihar,Araria,Bihar-Araria,2811569
Bihar,Darbhanga,Bihar-Darbhanga,3921971
Bihar,East Champaran,Bihar-East Champaran,5082868
Bihar,Gopalganj,Bihar-Gopalganj,2558037
Bihar,Khagaria,Bihar-Khagaria,1657599
Bihar,Lakhisarai,Bihar-Lakhisarai,1000717
Bihar,Madhubani,Bihar-Madhubani,4476044
Bihar,Muzaffarpur,Bihar-Muzaffarpur,4778610
Bihar,Nalanda,Bihar-Nalanda,2872523
Bihar,Patna,Bihar-Nalanda,5772804
Bihar,Samastipur,Bihar-Samastipur,4254782
Bihar,Sheohar,Bihar-Sheohar,656916
Bihar,Sitamarhi,Bihar-Sitamarhi,3419622
Bihar,Siwan,Bihar-Siwan,3318176
Bihar,Supaul,Bihar-Supaul,2228397
Bihar,West Champaran,Bihar-West Champaran,3935042
Bihar,Arwal,Bihar-Arwal,700843
Bihar,Aurangabad,Bihar-Aurangabad,2540073
Bihar,Banka,Bihar-Banka,2034763
Bihar,Begusarai,Bihar-Begusarai,2970541
Bihar,Bhagalpur,Bihar-Bhagalpur,3037766
Bihar,Bhojpur,Bihar-Bhojpur,2728407
Bihar,Buxar,Bihar-Buxar,1706352
Bihar,Gaya,Bihar-Gaya,4391418
Bihar,Jamui,Bihar-Jamui,1760405
Bihar,Jehanabad,Bihar-Jehanabad,1125313
Bihar,Kaimur,Bihar-Kaimur,1626384
Bihar,Katihar,Bihar-Katihar,3071029
Bihar,Kishanganj,Bihar-Kishanganj,1690400
Bihar,Madhepura,Bihar-Madhepura,2001762
Bihar,Munger,Bihar-Munger,1367765
Bihar,Nawada,Bihar-Nawada,2219146
Bihar,Purnia,Bihar-Purnia,3264619
Bihar,Rohtas,Bihar-Rohtas,2959918
Bihar,Saharsa,Bihar-Saharsa,1900661
Bihar,Saran,Bihar-Saran,3951862
Bihar,Sheikhpura,Bihar-Sheikhpura,636342
Bihar,Vaishali,Bihar-Vaishali,3495021
Chandigarh,Chandigarh,Chandigarh-Chandigarh,1055450
Delhi,New Delhi,Delhi-Delhi,19814000
Gujarat,Banaskantha,Gujarat-Banaskantha,3116045
Gujarat,Gandhinagar,Gujarat-Gandhinagar,1387478
Gujarat,Junagadh,Gujarat-Junagadh,2742291
Gujarat,Morbi,Gujarat-Morbi,960329
Gujarat,Surat,Gujarat-Surat,4996391
Gujarat,Surendranagar,Gujarat-Surendranagar,1755873
Haryana,Bhiwani,Haryana-Bhiwani,1629109
Haryana,Gurgaon,Haryana-Gurugram,1514085
Haryana,Hisar,Haryana-Hisar,1742815
Haryana,Jhajjar,Haryana-Jhajjar,956907
Haryana,Karnal,Haryana-Karnal,1506323
Haryana,Mahendragarh,Haryana-Mahendragarh,921680
Haryana,Nuh,Haryana-Nuh,1089406
Haryana,Panchkula,Haryana-Panchkula,558890
Haryana,Panipat,Haryana-Panipat,1202811
Haryana,Rewari,Haryana-Rewari,896129
Haryana,Rohtak,Haryana-Rohtak,1058683
Haryana,Sonipat,Haryana-Sonipat,1480080
Jharkhand,Hazaribagh,Jharkhand-Hazaribagh,1734005
Jharkhand,Latehar,Jharkhand-Latehar,725673
