,State,District,Population,state_dist
1,Bihar,Araria,2811569,Bihar-Araria
2,Bihar,Darbhanga,3921971,Bihar-Darbhanga
3,Bihar,East Champaran,5082868,Bihar-East Champaran
4,Bihar,Gopalganj,2558037,Bihar-Gopalganj
5,Bihar,Khagaria,1657599,Bihar-Khagaria
6,Bihar,Lakhisarai,1000717,Bihar-Lakhisarai
7,Bihar,Madhubani,4476044,Bihar-Madhubani
8,Bihar,Muzaffarpur,4778610,Bihar-Muzaffarpur
9,Bihar,Nalanda,2872523,Bihar-Nalanda
10,Bihar,Patna,5772804,Bihar-Patna
11,Bihar,Samastipur,4254782,Bihar-Samastipur
12,Bihar,Sheohar,656916,Bihar-Sheohar
13,Bihar,Sitamarhi,3419622,Bihar-Sitamarhi
14,Bihar,Siwan,3318176,Bihar-Siwan
15,Bihar,Supaul,2228397,Bihar-Supaul
16,Bihar,West Champaran,3935042,Bihar-West Champaran
17,Bihar,Arwal,700843,Bihar-Arwal
18,Bihar,Aurangabad,2540073,Bihar-Aurangabad
19,Bihar,Banka,2034763,Bihar-Banka
20,Bihar,Begusarai,2970541,Bihar-Begusarai
21,Bihar,Bhagalpur,3037766,Bihar-Bhagalpur
22,Bihar,Bhojpur,2728407,Bihar-Bhojpur
23,Bihar,Buxar,1706352,Bihar-Buxar
24,Bihar,Gaya,4391418,Bihar-Gaya
25,Bihar,Jamui,1760405,Bihar-Jamui
26,Bihar,Jehanabad,1125313,Bihar-Jehanabad
27,Bihar,Kaimur,1626384,Bihar-Kaimur
28,Bihar,Katihar,3071029,Bihar-Katihar
29,Bihar,Kishanganj,1690400,Bihar-Kishanganj
30,Bihar,Madhepura,2001762,Bihar-Madhepura
31,Bihar,Munger,1367765,Bihar-Munger
32,Bihar,Nawada,2219146,Bihar-Nawada
33,Bihar,Purnia,3264619,Bihar-Purnia
34,Bihar,Rohtas,2959918,Bihar-Rohtas
35,Bihar,Saharsa,1900661,Bihar-Saharsa
36,Bihar,Saran,3951862,Bihar-Saran
37,Bihar,Sheikhpura,636342,Bihar-Sheikhpura
38,Bihar,Vaishali,3495021,Bihar-Vaishali
39,Chandigarh,Chandigarh,1055450,Chandigarh-Chandigarh
40,Delhi,Delhi,19814000,Delhi-Delhi
41,Gujarat,Banaskantha,3116045,Gujarat-Banaskantha
42,Gujarat,Gandhinagar,1387478,Gujarat-Gandhinagar
43,Gujarat,Junagadh,2742291,Gujarat-Junagadh
44,Gujarat,Morbi,960329,Gujarat-Morbi
45,Gujarat,Surat,4996391,Gujarat-Surat
46,Gujarat,Surendranagar,1755873,Gujarat-Surendranagar
47,Haryana,Bhiwani,1629109,Haryana-Bhiwani
48,Haryana,Gurugram,1514085,Haryana-Gurugram
49,Haryana,Hisar,1742815,Haryana-Hisar
50,Haryana,Jhajjar,956907,Haryana-Jhajjar
51,Haryana,Karnal,1506323,Haryana-Karnal
52,Haryana,Mahendragarh,921680,Haryana-Mahendragarh
