state,pop
India,1394975829
Andaman and Nicobar Islands,400000
Andhra Pradesh,52787000
Arunachal Pradesh,1533000
Assam,35043000
Bihar,123083000
Chandigarh,1208000
Chhattisgarh,29493000
Dadra and Nagar Haveli and Daman and Diu,1078000
Delhi,20571000
Goa,1559000
Gujarat,69788000
Haryana,29483000
Himachal Pradesh,7394000
Jammu and Kashmir,13408000
Jharkhand,38471000
Karnataka,66845000
Kerala,35489000
Ladakh,297000
Lakshadweep,68000
Madhya Pradesh,84516000
Maharashtra,124437000
Manipur,3165000
Meghalaya,3288000
Mizoram,1216000
Nagaland,2192000
Odisha,44033000
Puducherry,1572000
Punjab,30339000
Rajasthan,79281000
Sikkim,677000
Tamil Nadu,76402000
Telangana,37725000
Tripura,4071000
Uttar Pradesh,230907000
Uttarakhand,11399000
West Bengal,98125000
